Аддон AtlasLoot для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-atlasloot-dlya-wow-sirus-3-3-5a.html;Расширение для AtlasLoot Enhanced, позволяющее легко просматривать все классовые способности и расовые особенности. Создается новый модуль «Classes» с отдельными «Instances» для каждого класса. Расовые особенности отображаются аналогично. Просматривайте…;9 726 просмотров
Аддон Atlas для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-atlas-dlya-wow-sirus-3-3-5a.html;Аддон Atlas — это мод для World of Warcraft, включающий в себя подробные карты для всех инстансов игры. Первоначально компания Blizzard не включала карты для инстансов. Однако через…;7 619 просмотров
Аддон Recount для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-recount-dlya-wow-sirus-3-3-5a.html;Аддон Recount — это графический счетчик урона, написанный Cryect. Recount (Preservation) — это попытка сохранить его до патча 2.4 и исправить некоторые мелкие недочеты. Если Cryect вернется, проект…;8 408 просмотров
Аддон Bagnon для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-bagnon-dlya-wow-sirus-3-3-5a.html;Чистый инвентарь, экономия времени! Аддон Bagnon — это популярная замена интерфейса сумки №1, призванная помочь игроку максимально быстро и легко находить предметы. Bagnon может вписаться в любой пользовательский…;8 985 просмотров
Аддон Bartender4 для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-bartender4-dlya-wow-sirus-3-3-5a.html;Аддон Bartender4 — это полная доработка, заменяющая стандартную командную панель. Она обеспечивает вас всеми необходимыми функциями для полноценной настройки большинства аспектов действий и связанных с ними панелей. Дополнительные…;6 201 просмотров
Аддон DrDamage для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-drdamage-dlya-wow-sirus-3-3-5a.html;Аддон DrDamage отображает рассчитанный урон или исцеление от способностей с талантами, снаряжением и бафами, включенными в кнопки панели действий. Аддон также добавляет различные статистические данные в подсказки в…;4 018 просмотров
Аддон Auctionator для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-auctionator-dlya-wow-sirus-3-3-5a.html;Аддон Auctionator предназначен для повседневных пользователей аукционных площадок. Знаете ли вы, что в комплекте с Auctionator идут модули? Например, для отслеживания покупок, продаж, вендоров и заказов на крафтинг…;3 416 просмотров
Аддон OmniCC 3.3.5a для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-omnicc-3-3-5a-dlya-wow-sirus-3-3-5a.html;OmniCC — это аддон, который добавляет текст к предметам, заклинаниям и способностям, находящимся в состоянии простоя, чтобы указать, когда они будут готовы к использованию. Другими словами, он превращает…;9 860 просмотров
Аддон MoveAnything для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-moveanything-dlya-wow-sirus-3-3-5a.html;Аддон MoveAnything дает возможность передвигать, масштабировать, прятать и изменять прозрачность почти любого экранного элемента в WoW, предоставляя инструменты для изменения пользовательского интерфейса. С использованием редакторов фреймов MA (…;1 774 просмотров
Аддон Quartz для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-quartz-dlya-wow-sirus-3-3-5a.html;Аддон Quartz сделает вашу полосу спеллов или панель кастов более отзывчивой. Вы сможете направить фокус на наиболее приемлемый. Кроме этого, вы можете с легкостью настроить его по собственному…;5 203 просмотров
Аддон HealBot для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-healbot-dlya-wow-sirus-3-3-5a.html;HealBot — это один из самых лучших аддонов для wow, созданный для лекарей. Аддон добавляет на вашу консоль удобные окна членов группы или рейда. Аддон HealBot упростит жизнь…;4 198 просмотров
Аддон Omen для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-omen-dlya-wow-sirus-3-3-5a.html;Omen — это очень полезный аддон, который обязательно пригодится в рейдах. Его основное предназначение — отслеживать аггро. Аддон Omen показывает аггро игрока и членов его группы, это позволяет…;2 671 просмотров
Аддон RaidRoll для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-raidroll-dlya-wow-sirus-3-3-5a.html;RaidRoll — это аддон, который может быть использован для распределения лута в рейдах. Он выводит полный список игроков с идентификаторами рядом с их именем. Потом он проводит подсчет…;1 427 просмотров
Аддон TipTac для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-tiptac-dlya-wow-sirus-3-3-5a.html;Получаете ошибку «Шрифт не установлен»? Убедитесь, что в меню Font -> Font Face, а также в меню Bars -> Font Face установлен правильный шрифт. TipTac — это аддон…;2 696 просмотров
Аддон чата ChatBar для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-chata-chatbar-dlya-wow-sirus-3-3-5a.html;ChatBar — простой аддон для чата. Просто подвижная рамка с кнопками, связанными с каналами чата. Панель с кнопками каналов чата, расположенная над окном чата. У аддона ChatBar есть…;3 590 просмотров
Почтовый аддон Postal для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/pochtovyy-addon-postal-dlya-wow-sirus-3-3-5a.html;Аддон Postal — это почтовый аддон, он сделает интерфейс вашей почты просто потрясающим. Весь функционал Аддона Postal улучшен до одного щелчка мыши! Все письма открываются и фильтруются одним…;1 812 просмотров
Аддон MikScrollingBattleText (MSBT) для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-mikscrollingbattletext-msbt-dlya-wow-sirus-3-3-5a.html;MikScrollingBattleText (MSBT) — это очень легкий, эффективный и настраиваемый мод, который облегчает просмотр боевой информации, прокручивая ее на экране в отдельных, динамически создаваемых областях прокрутки. Аддон MikScrollingBattleText (MSBT)…;2 258 просмотров
Аддон Diminishing Returns (DR) для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-diminishing-returns-dr-dlya-wow-sirus-3-3-5a.html;Аддон Diminishing Returns (DR) помогает отслеживать уменьшение отдачи от враждебных игроков, прикрепляя иконки к рамкам юнитов. Функции Поддерживаемые фреймы юнитов Для облегчения понимания происходящего можно воспользоваться командой /drsupport…;1 336 просмотров
Аддон BigAuras для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-bigauras-dlya-wow-sirus-3-3-5a.html;Аддон BigAuras — отображает контроль, бафы/дебафы атаки и защиты и другие вещи в зависимости от их приоритета. Полезен для PvP, основанного на LoseControl. Настройки «Настройки» -> «Интерфейс» ->…;2 319 просмотров
Аддон SellJunk для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-selljunk-dlya-wow-sirus-3-3-5a.html;SellJunk — аддон продает весь хлам продавцам. Сюда входят все серые предметы и предметы, указанные пользователем, которые могут быть добавлены в список исключений. Он может либо продавать эти…;3 605 просмотров
Аддон FishingBuddy для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-fishingbuddy-dlya-wow-sirus-3-3-5a.html;Fishing Buddy — аддон для рыбалки, позволяющий вести учет пойманной рыбы и управлять рыболовными снастями. Другие версии Fishing Buddy (Classic) Особенности Примеры команд /fishingbuddy или /fb переключить отображение…;2 344 просмотров
Аддон BankStack для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-bankstack-dlya-wow-sirus-3-3-5a.html;BankStack — решает главную проблему перемещения вещей в ваших сумках и в банке. Что делает аддон Быстрая справка по командам /bankstack : показать конфигурацию/sort : перегруппировать сумки/sort bank…;2 019 просмотров
Аддон ATT для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-att-dlya-wow-sirus-3-3-5a.html;Arena Team Tracker — отслеживает время действия способностей членов вашей команды. Предназначен для PVP, но может использоваться и в PVE, по мотивам старых Party Ability Bars (PAB). /att…;2 269 просмотров
Аддон Clique для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-clique-dlya-wow-sirus-3-3-5a.html;Аддон Clique дает возможность создавать макросы любых действий: мышь + клавиши на клавиатуре. Например: LKM + Shift = Божественное исцеление, или LKM + Ctrl = Великое исцеление. Аддон…;1 985 просмотров
Аддон RecountHealAndGuessedAbsorbs для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/recounthealandguessedabsorbs-dlya-wow-sirus-3-3-5a.html;Расширение для аддона Recount 3.3.5a. RecountHealAndGuessedAbsorbs — это расширение создано для владельцев Валанира и Жрецов в специализации Послушание, показывает их поглощение урона+исцеление.;897 просмотров
Аддон RecountGuessedAbsorbs для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-recountguessedabsorbs-dlya-wow-sirus-3-3-5a.html;Дополнение для аддона Recount 3.3.5a. RecountGuessedAbsorbs — это расширение создано для владельцев Валанира и Жреца в специализации Послушание с отображением их поглощения урона (только поглощение, без исцеления).;781 просмотров
Аддон GnomishVendorShrinker для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-gnomishvendorshrinker-dlya-wow-sirus-3-3-5a.html;Аддон GnomishVendorShrinker заменяет стандартное окно взаимодействия с торговцами NIP на более удобное и более компактное. Интерфейс аддона GnomishVendorShrinker отчасти напоминает модуль CompactUI аддона Auctioneer. Преимущества: Единственным недостатком аддона…;1 417 просмотров
Аддон sArena для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-sarena-dlya-wow-sirus-3-3-5a.html;Описание Аддон sArena дополняет стандартные арена фреймы, он позволяет изменять их размер и делает их подвижными. Еще аддон sArena показывает настраиваемые каст бары и кулдауны противников. Улучшенные рамки…;1 274 просмотров
Аддон Capping для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-capping-dlya-wow-sirus-3-3-5a.html;Описание Аддон Capping показывает сколько времени осталось до захвата флага/точки на Полях боя и Аренах в pvp. Работает на всех бг, имеет функцию показа информации всем игрокам команды….;1 148 просмотров
Аддон CustomEnhancedRaidFrames для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-customenhancedraidframes-dlya-wow-sirus-3-3-5a.html;Описание Аддон CustomEnhancedRaidFrames — это дополнение к рейдовым рамкам для World of Warcraft: Shadowlands, World of Warcraft: Classic и The Burning Crusade: Classic, которое добавляет множество небольших, но…;3 937 просмотров
Аддон BadBoy для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-badboy-dlya-wow-sirus-3-3-5a.html;Описание Аддон BadBoy стал популярным, и спамеры обратили на него внимание. Как только выходят новые обновления, спамеры пытаются обойти новые фильтры. Люди жалуются либо на пропуск спама, либо…;1 201 просмотров
Аддон BadBoy_CCleaner для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-badboy_ccleaner-dlya-wow-sirus-3-3-5a.html;Описание Это плагин для аддона BadBoy. Данный плагин не сообщает игрокам об удалении чата, а просто скрывает его. Особенности Удаляет строки чата при нахождении определенного слова.BadBoy CCleaner имеет…;656 просмотров
